SampleID,Edited ID,ColonyID,Site,SiteType,Latitude,Longitude,Age,Orientation,,,,,,,,,,,,,,,,,
PE5,E5,epj5,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE6,E6,epj6,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE7,E7,epj7,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE8,E8,epj8,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE9,E9,epj9,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE10,E10,epj10,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE11,E11,epj11,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE12,E12,epj12,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE13,E13,epj13,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE14,E14,epj14,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE15,E15,epj15,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE16,E16,epj16,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE17,E17,epj17,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE18,E18,epj18,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE19,E19,epj19,sePelorus,exposed,-18.56065,146.50117,juvenile,-,,,,,,,,,,,,,,,,,
PE20,E20,epj20,sePelorus,exposed,-18.56065,146.50117,juvenile,-,,,,,,,,,,,,,,,,,
PE21,E21,epa1,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE22,E22,epa1,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE23,E23,epa2,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE24,E24,epa2,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE25,E25,epa2,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE26,E26,epa1,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE27,E27,epa3,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE28,E28,epa3,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE29,E29,epa3,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE30,E30,epa4,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE31,E31,epa4,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE32,E32,epa4,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE33,E33,epa5,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE34,E34,epa5,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE35,E35,epa5,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE36,E36,epa6,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE37,E37,epa6,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE38,E38,epa6,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE39,E39,epa7,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE40,E40,epa7,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE41,E41,epa7,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE42,E42,epa8,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE43,E43,epa8,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE44,E44,epa8,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE51,E51,epa9,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE52,E52,epa9,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE53,E53,epa9,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE61,E61,epa10,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE62,E62,epa10,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE63,E63,epa10,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE64,E64,epa11,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE65,E65,epa11,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE66,E66,epa11,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE67,E67,epa12,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE68,E68,epa12,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE69,E69,epa12,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE70,E70,epa13,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE71,E71,epa13,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE72,E72,epa13,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE73,E73,epa14,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE74,E74,epa14,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE75,E75,epa14,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE76,E76,epa15,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE77,E77,epa15,nePelorus,exposed,-18.55018,146.50443,adult,top,,,,,,,,,,,,,,,,,
PE78,E78,epa15,nePelorus,exposed,-18.55018,146.50443,adult,side,,,,,,,,,,,,,,,,,
PE84,E84,epa16,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE85,E85,epa16,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE86,E86,epa16,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE87,E87,epa17,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE88,E88,epa17,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE89,E89,epa17,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE90,E90,epa18,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE91,E91,epa18,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE92,E92,epa18,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE93,E93,epa19,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PE94,E94,epa19,sePelorus,exposed,-18.56065,146.50117,adult,top,,,,,,,,,,,,,,,,,
PE95,E95,epa19,sePelorus,exposed,-18.56065,146.50117,adult,side,,,,,,,,,,,,,,,,,
PS1,X1,soj1,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS2,X2,soj2,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS3,X3,soj3,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS4,X4,soj4,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS5,X5,soj5,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS6,X6,soj6,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS7,X7,soj7,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS8,X8,soj8,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS9,X9,soj9,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS10,X10,soj10,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS11,X11,soj11,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS12,X12,soj12,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS13,X13,soj13,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS14,X14,soj14,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS15,X15,soj15,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS16,X16,soj16,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS17,X17,soj17,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS18,X18,soj18,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS19,X19,soj19,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS20,X20,soj20,sOrpheus,sheltered,-18.66184,146.50005,juvenile,-,,,,,,,,,,,,,,,,,
PS51,X51,soa1,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS52,X52,soa1,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS53,X53,soa1,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS54,X54,soa2,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS55,X55,soa2,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS56,X56,soa2,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS57,X57,soa3,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS58,X58,soa3,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS59,X59,soa3,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS60,X60,soa4,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS61,X61,soa4,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS62,X62,soa4,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS63,X63,soa5,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS64,X64,soa5,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS65,X65,soa5,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS66,X66,soa6,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS67,X67,soa6,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS68,X68,soa6,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS69,X69,soa7,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS70,X70,soa7,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS71,X71,soa7,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS72,X72,soa8,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS73,X73,soa8,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS74,X74,soa8,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS75,X75,soa9,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS76,X76,soa9,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS77,X77,soa9,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS78,X78,soa10,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS79,X79,soa10,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS80,X80,soa10,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS81,X81,soa11,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS82,X82,soa11,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS83,X83,soa11,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS84,X84,soa12,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS85,X85,soa12,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS86,X86,-,sOrpheus,sheltered,-,-,adult,side,,,,,,,,,,,,,,,,,
PS87,X87,soa23,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
PS88,X88,soa23,sOrpheus2,sheltered,-18.66255,146.49977,adult,top,,,,,,,,,,,,,,,,,
PS89,X89,soa23,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
PS90,X90,-,sOrpheus,sheltered,-,-,adult,side,,,,,,,,,,,,,,,,,
PS91,X91,soa14,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS92,X92,soa14,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS93,X93,soa15,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS94,X94,soa15,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS95,X95,soa15,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS96,X96,soa16,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS97,X97,soa16,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS98,X98,soa16,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS99,X99,soa17,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS100,X100,soa17,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS101,X101,soa17,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS102,X102,soa18,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS103,X103,soa18,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS104,X104,soa18,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS105,X105,soa19,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS106,X106,soa19,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS107,X107,soa19,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS108,X108,soa20,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS109,X109,soa20,sOrpheus,sheltered,-18.66184,146.50005,adult,top,,,,,,,,,,,,,,,,,
PS110,X110,soa20,sOrpheus,sheltered,-18.66184,146.50005,adult,side,,,,,,,,,,,,,,,,,
PS111,X111,soa21,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
PS112,X112,soa21,sOrpheus2,sheltered,-18.66255,146.49977,adult,top,,,,,,,,,,,,,,,,,
PS113,X113,soa21,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
PS114,X114,soa22,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
PS115,X115,soa22,sOrpheus2,sheltered,-18.66255,146.49977,adult,top,,,,,,,,,,,,,,,,,
PS116,X116,soa22,sOrpheus2,sheltered,-18.66255,146.49977,adult,side,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
